Clave,,,Descripción,,,,,Precio U.,Exis,Total 
7.50183E+12,,,AMBROXOL / DEXTROMETORFANO ( DEGORQUIN ) JARABE 113MG / 150 MG / 100 ML C/150ML,,,,,$36.58,0,$0.00
7.50221E+12,,,"AMBROXOL / DEXTROMETORFANO ( FARIBROX TM ) JARABE ADULTO 225MG, 225MG/100ML",,,,,$22.80,0,$0.00
7.50221E+12,,,"AMBROXOL / DEXTROMETORFANO ( FARIBROX TM INFANTIL ) JARABE 150MG , 113MG / 100ML",,,,,$7.90,2,$15.80
7.502E+12,,,AMBROXOL / LEVODROPROPIZINA ( DIZOLVIN FLUX ) SOLUCION 300MG/600MG C/120ML,,,,,$50.78,0,$0.00
7.85119E+11,,,AMBROXOL / LEVODROPROPIZINA ( SUPRATEX DAC ) SOLUCION 300MG/600MG/100ML C/120ML,,,,,$44.29,227,"$10,053.83"
7.502E+12,,,AMBROXOL / OXELADINA ( CONNEX ) JARABE ADULTO ,,,,,$35.59,0,$0.00
,,,225MG/200MG/100ML C/120ML,,,,,,,
7.50201E+12,,,AMBROXOL / OXELADINA ( SIRACUX ) JARABE ADULTO 0.200g/0.225g C/120ML,,,,,$40.83,0,$0.00
7.50201E+12,,,AMBROXOL / OXELADINA ( SIRACUX ) JARABE INFANTIL 0.100G/0.115G,,,,,$37.17,0,$0.00
7.80083E+11,,,AMBROXOL / SALBUTAMOL ( BROSOFLUX ) JARABE 150MG/40MG C/120ML,,,,,$20.22,0,$0.00
7.50201E+12,,,AMBROXOL / SALBUTAMOL ( FLUXOL ) SOLUCION 40MG/150MG/100ML C/120ml,,,,,$15.52,0,$0.00
7.503E+12,,,AMBROXOL / SALBUTAMOL ( WEXPEC ) SOLUCION  2MG-7.5 MG/ 5ML C/120ML,,,,,$14.21,0,$0.00
7.5013E+12,,,"AMBROXOL, DEXTROMETORFANO (TUSIGEN NF) 22.5/22.55 MG C/20 TAB",,,,,$53.71,5,$268.55
7.80083E+11,,,AMBROXOL/ LORATADINA ( LOVARIN EX ) FRASCO C/ 120 ML,,,,,$18.39,5,$91.95
7.50183E+12,,,AMBROXOL/SALBUTAMOL (FLUVICIL) SOLUCION 150 MG/40 MG/100 ML C/120 ML,,,,,$29.52,0,$0.00
RE01-04,,,AMBU ADULTO HUDSON 5372,,,,,$516.43,0,$0.00
L008,,,AMILASA,,,,,$80.00,0,$0.00
L017,,,AMILASA EN ORINA,,,,,$120.00,0,$0.00
L018,,,AMILASA EN ORINA DE 24 HORAS,,,,,$120.00,0,$0.00
7.50222E+12,,,AMLODIPINO  ( ULTRA ) TABLETAS 5 MG,,,,,$11.25,0,$0.00
7.50157E+12,,,AMLODIPINO ( ANGIODAL ) TABLETA 5MG C/10,,,,,$5.90,0,$0.00
7.50223E+12,,,AMLODIPINO ( PRESLOPIN ) TABLETA 5.0 MG C/10,,,,,$4.71,0,$0.00
7.50223E+12,,,AMLODIPINO ( PRESLOPIN ) TABLETAS 5.0 MG C/30,,,,,$9.29,20,$185.80
L0009,,,AMONIO EN PLASMA,,,,,$300.00,0,$0.00
7.50221E+12,,,AMOXICILINA ( DIMOPEN ) SUSPENSION 250MG/5ML C/75ML,,,,,$15.73,0,$0.00
7.80083E+11,,,AMOXICILINA ( GIMALXINA ) SUSPENSION 250MG/5ML C/75ML,,,,,$26.97,0,$0.00
7.80083E+11,,,AMOXICILINA ( GIMALXINA ) SUSPENSION 500 MG / 5 ML  C/ 75 ML,,,,,$32.58,0,$0.00
7.50201E+12,,,AMOXICILINA / AC CLAVULANICO ( CLAMOXIN ) TABLETA 500/125MG C/12,,,,,$40.23,0,$0.00
7.50221E+12,,,AMOXICILINA / AC CLAVULANICO ( CLAVIPEN ) TABLETA 500mg/125MG C/10,,,,,$36.40,0,$0.00
7.80083E+11,,,AMOXICILINA / AC CLAVULANICO ( GIMACLAV ) SUSPENSION 400MG  C/50ML,,,,,$14.88,0,$0.00
7.80083E+11,,,AMOXICILINA / AC CLAVULANICO ( GIMACLAV ) TABLETA 500/125MG C/15,,,,,$47.00,0,$0.00
7.80083E+11,,,AMOXICILINA / AC CLAVULANICO ( GIMACLAV ) TABLETA 500mg/125MG C/10,,,,,$41.46,0,$0.00
7.503E+12,,,AMOXICILINA / AC. CLAVUANICO ( VALCLAN ) SUSP. PEDIATRICA 200 MG - 28.5 / 5 ML C/40 ML,,,,,$18.42,0,$0.00
7.50201E+12,,,AMOXICILINA / AC. CLAVULANICO (CLAMOXIN) SOL PEDIATRICA 200MG/28.5MG/5ML C/40ML,,,,,$24.67,0,$0.00
7.50201E+12,,,AMOXICILINA / AC. CLAVULANICO 500/125 MG C/16 TABS (CLAMOXIN),,,,,$54.44,0,$0.00
7.50201E+12,,,AMOXICILINA / ACIDO CLAVULANICO ( CLAMOXIN ) TABLETAS 500MG/125MG C/10,,,,,$43.68,40,"$1,747.20"
